살펴보다,to look over / examine,인텔의 CPU 제품을 살펴보면 이름에 규칙이 있다.,If you examine Intel CPUs there is a naming pattern.,More deliberate than 보다; implies careful inspection
제품,product,이 제품은 고성능을 목표로 한다.,This product targets high performance.,Common in tech and marketing contexts
확인하다,to confirm / check,이름의 의미를 확인할 수 있다.,You can check the meaning of the name.,Often used for verifying information
다양한,various,다양한 숫자와 기호가 사용된다.,Various numbers and symbols are used.,Formal and descriptive
조합,combination,숫자와 기호의 조합이다.,It is a combination of numbers and symbols.,Used for structured elements
모르다,to not know,CPU를 잘 모르는 사람이라면 헷갈릴 수 있다.,Someone unfamiliar with CPUs may be confused.,Basic verb but very common
단순히,simply / merely,단순히 문자처럼 보일 수 있다.,It may look like simple characters.,Downplays complexity
사실,in fact,사실 성능을 나타내는 정보다.,In fact it shows performance.,Used to correct assumptions
성능,performance,이 CPU는 성능이 뛰어나다.,This CPU has excellent performance.,Very common in hardware discussions
분류하다,to classify,제품을 성능별로 분류한다.,Products are classified by performance.,Formal, technical usage
가령,for example,가령 i7-10900K를 보면 이해하기 쉽다.,For example, looking at the i7-10900K helps.,Formal equivalent of 예를 들어
세대,generation,10은 CPU의 세대를 의미한다.,10 indicates the CPU generation.,Used heavily in hardware/versioning
세부,detailed / specific,900은 세부 성능을 나타낸다.,900 shows detailed performance level.,Often paired with 정보 or 성능
가리키다,to indicate / point to,K는 특정 라인업을 가리킨다.,K indicates a specific lineup.,Abstract “pointing” meaning
해석하다,to interpret,이 이름을 해석하면 의미가 분명해진다.,Interpreting the name clarifies its meaning.,Used for data, language, symbols
고성능,high-performance,고성능 라인업에 속한다.,It belongs to a high-performance lineup.,Compound noun, very common in specs
배수 락 해제,unlocked multiplier,배수 락 해제 모델이다.,It is an unlocked multiplier model.,Very technical CPU-specific term
뜻이다,means / signifies,이름의 뜻이다.,That is what the name means.,Used to conclude explanations

