남편,husband,"여기는 제 남편이에요.","This is my husband.","Used by wife; neutral and common"
아내,wife,"여기는 제 아내예요.","This is my wife.","Used by husband; neutral"
남자 친구,boyfriend,"여기는 제 남자 친구예요.","This is my boyfriend.","Romantic partner; informal"
여자 친구,girlfriend,"여기는 제 여자 친구예요.","This is my girlfriend.","Romantic partner; informal"
배우자,spouse; partner,"이 사람은 제 배우자예요.","This person is my spouse.","Gender-neutral; formal"
약혼자,fiancé,"여기는 제 약혼자예요.","This is my fiancé.","Male; engaged but not married"
약혼녀,fiancée,"여기는 제 약혼녀예요.","This is my fiancée.","Female; engaged but not married"
아들,son,"이들은 제 아들이에요.","These are my sons.","Plural often used with 들"
딸,daughter,"여기는 제 딸이에요.","This is my daughter.","Common family term"
부모님,parents,"이들은 제 부모님이에요.","These are my parents.","Honorific plural form"
어머니,mother,"여기는 제 어머니예요.","This is my mother.","Honorific; more polite than 엄마"
아버지,father,"여기는 제 아버지예요.","This is my father.","Honorific; more polite than 아빠"
할머니,grandmother,"여기는 제 할머니예요.","This is my grandmother.","Can be maternal or paternal"
할아버지,grandfather,"여기는 제 할아버지예요.","This is my grandfather.","Can be maternal or paternal"
손녀,granddaughter,"여기는 제 손녀예요.","This is my granddaughter.","Child of one's son or daughter"
손자,grandson,"여기는 제 손자예요.","This is my grandson.","Child of one's son or daughter"
남동생,younger brother,"여기는 제 남동생이에요.","This is my younger brother.","Used by both genders"
여동생,younger sister,"여기는 제 여동생이에요.","This is my younger sister.","Used by both genders"
형,older brother (male speaker),"여기는 제 형이에요.","This is my older brother.","Used by males only"
오빠,older brother (female speaker),"여기는 제 오빠예요.","This is my older brother.","Used by females only"
누나,older sister (male speaker),"여기는 제 누나예요.","This is my older sister.","Used by males only"
언니,older sister (female speaker),"여기는 제 언니예요.","This is my older sister.","Used by females only"
시어머니,mother-in-law (husband’s mother),"여기는 제 시어머니예요.","This is my mother-in-law.","Used by wife"
시아버지,father-in-law (husband’s father),"여기는 제 시아버지예요.","This is my father-in-law.","Used by wife"
장모님,mother-in-law (wife’s mother),"여기는 제 장모님이에요.","This is my mother-in-law.","Used by husband; honorific"
장인어른,father-in-law (wife’s father),"여기는 제 장인어른이에요.","This is my father-in-law.","Used by husband; honorific"
며느리,daughter-in-law,"여기는 제 며느리예요.","This is my daughter-in-law.","Wife of one’s son"
사위,son-in-law,"여기는 제 사위예요.","This is my son-in-law.","Husband of one’s daughter"
조카,nephew; niece,"여기는 제 조카예요.","This is my niece/nephew.","Gender-neutral term"
조카딸,niece,"여기는 제 조카딸이에요.","This is my niece.","Female child of sibling"
의붓아들,stepson,"여기는 제 의붓아들이에요.","This is my stepson.","Child from spouse’s previous marriage"
의붓딸,stepdaughter,"여기는 제 의붓딸이에요.","This is my stepdaughter.","Child from spouse’s previous marriage"
새어머니,stepmother,"여기는 제 새어머니예요.","This is my stepmother.","Formal term"
새아버지,stepfather,"여기는 제 새아버지예요.","This is my stepfather.","Formal term"
사촌,cousin,"여기는 제 사촌이에요.","This is my cousin.","Gender-neutral"
친구,friend,"여기는 제 친구예요.","This is my friend.","Very common word"
아기,baby,"여기는 제 아기예요.","This is my baby.","Very young child"
아이,child; kid,"이 아이는 제 아이예요.","This child is mine.","Casual and common"
십대,teenager,"제 동생은 십대예요.","My sibling is a teenager.","Age group (13–19)"
대가족,extended family,"우리는 대가족이에요.","We are an extended family.","Opposite of nuclear family"
