변덕스럽다,unpredictable; changeable,"요즘 날씨가 변덕스럽다.","The weather has been unpredictable lately.","Often used for weather or personality"
기온 차,temperature difference,"낮과 밤의 기온 차가 크다.","There is a big temperature difference between day and night.","Common in weather and health contexts"
햇볕,sunlight,"햇볕이 따뜻하다.","The sunlight is warm.","More natural than 태양빛 in daily speech"
쌀쌀하다,chilly; slightly cold,"아침 공기가 쌀쌀하다.","The morning air is chilly.","Cool but not freezing"
간헐적으로,intermittently; from time to time,"비가 간헐적으로 내린다.","Rain falls intermittently.","Often used in forecasts and reports"
돌풍,sudden strong gust of wind,"돌풍이 불었다.","A sudden gust of wind blew.","Short but intense wind"
소나기,sudden shower,"오후에 소나기가 내렸다.","A sudden shower fell in the afternoon.","Short but heavy rain"
기상청,weather agency; meteorological administration,"기상청은 비를 예보했다.","The weather agency forecast rain.","Official government organization"
지속되다,to continue; to last,"추위가 계속 지속되고 있다.","The cold is continuing.","Often used for conditions or states"
환절기,change of seasons,"환절기에는 감기에 걸리기 쉽다.","People easily catch colds during seasonal changes.","Often linked to health"
갑작스럽다,sudden; abrupt,"날씨가 갑작스럽게 변했다.","The weather changed suddenly.","Formal or written tone"
외출하다,to go out,"비가 와서 외출하지 않았다.","I didn’t go out because it was raining.","Neutral everyday verb"
챙기다,to take care of; pack; prepare,"우산을 챙기세요.","Make sure to take an umbrella.","Very common spoken verb"
당분간,for the time being; for now,"당분간 집에 있을 거예요.","I’ll stay home for the time being.","Implies temporary duration"
예보하다,to forecast,"비가 올 거라고 예보했다.","They forecast that it would rain.","Often used with weather"
건강 관리,health management; taking care of one’s health,"환절기에는 건강 관리가 중요하다.","Health care is important during seasonal changes.","Common collocation"
각별하다,extra special; particular,"건강에 각별히 주의하세요.","Please take extra care of your health.","Often used with 주의하다"
당부,request; reminder,"안전에 대한 당부가 있었다.","There was a reminder about safety.","Polite and formal nuance"

