흐리다,cloudy,"오늘 하늘이 흐리다.","The sky is cloudy today.","Common weather adjective"
전반적으로,overall; in general,"전반적으로 날씨가 온화하다.","Overall, the weather is mild.","Often used in summaries"
점차,gradually,"기온이 점차 올라간다.","The temperature gradually rises.","Frequently used in forecasts"
습도,humidity,"습도가 높아서 불쾌하다.","The humidity is high, so it’s uncomfortable.","Weather and health contexts"
답답하다,stuffy; uncomfortable,"습도가 높아 공기가 답답하다.","The air feels stuffy because of the humidity.","Physical or emotional discomfort"
국지적,localized,"국지적으로 비가 내린다.","Rain falls in localized areas.","Mostly used in news/weather"
동반하다,to accompany,"강풍을 동반한 비가 내렸다.","Rain accompanied by strong winds fell.","Formal, report-style verb"
주의가 필요하다,caution is needed,"미끄럼 사고에 주의가 필요하다.","Caution is needed for slippery accidents.","Common safety expression"
전하다,to convey; to report,"기상 소식을 전했다.","They reported the weather news.","News/reporting verb"
시기,period; time,"환절기 시기에는 감기에 걸리기 쉽다.","It’s easy to catch a cold during seasonal transition periods.","Formal noun"
다만,however; but,"다만 바람이 강하다.","However, the wind is strong.","Soft contrast, common in writing"
실제,actual; in reality,"실제 기온은 높다.","The actual temperature is high.","Often contrasted with 체감 온도"
일교차,difference between day and night temperatures,"일교차가 커서 옷차림에 주의해야 한다.","Because of the large day–night temperature difference, you should be careful with clothing.","Very common weather term"

