여전히,still; yet,"날씨가 여전히 춥다.","The weather is still cold.","Often used to show a situation has not changed"
외투,outerwear; coat,"외투를 입고 나가세요.","Wear a coat when you go out.","General term for coats and jackets"
체감 온도,feels-like temperature,"바람 때문에 체감 온도가 낮다.","Because of the wind, the feels-like temperature is low.","Common in weather reports"
면역력,immune system strength,"면역력을 높이는 게 중요하다.","It’s important to strengthen your immune system.","Frequently used in health contexts"
경고하다,to warn,"기상청이 강풍을 경고했다.","The weather agency warned of strong winds.","Formal verb, often in news"
일교차,difference between day and night temperatures,"일교차가 커서 감기에 걸리기 쉽다.","Because of the large temperature difference, it’s easy to catch a cold.","Very common seasonal term"
대비하다,to prepare for; to be ready for,"추위에 대비해야 한다.","You need to prepare for the cold.","Often used with weather or emergencies"
옷차림,clothing choice; outfit,"오늘 옷차림이 가볍다.","Your outfit is light today.","Focuses on what someone is wearing"
섭취,intake (food, water, nutrients),"수분 섭취를 충분히 하세요.","Make sure to get enough fluid intake.","Formal noun, common in health advice"
권장하다,to recommend; to advise,"마스크 착용을 권장합니다.","Wearing a mask is recommended.","Polite and formal tone"

